Variable_name;Long_definition;Type;5_variables;7_variables;9_variables;11_variables;Geographical_attribute;Bin_size
Age;;int;True;True;True;True;False;15
Sex;;binary;True;True;True;True;False;1
Diploma;;category;True;True;True;True;False;1
isMarried;;category;False;False;True;True;False;1
Cohabitation;;binary;False;False;False;False;False;1
Employment;;category;False;False;False;False;False;1
Socioprofessional;;category;False;True;True;True;False;1
Activity;;category;False;False;False;True;False;1
Hours;;category;False;False;False;False;False;1
Transport;;category;False;False;False;False;False;1
ReferenceLink;;category;False;False;False;False;False;1
FamilyLink;;category;False;False;False;False;False;1
HouseholdSize;;int;True;True;True;True;False;1
nChildren;;int;False;False;False;False;False;1
nRooms;;int;False;False;False;False;False;1
Surface;;int;False;False;False;False;False;1
Parking;;binary;False;False;False;False;False;1
nCars;;int;False;True;True;True;False;1
Accommodation;;category;False;False;True;True;False;1
Household;;category;False;False;False;True;False;1
Occupancy;;category;False;False;False;False;False;1
Department;;category;True;True;True;True;True;1
County;;category;False;False;False;False;True;1
City;;category;False;False;False;False;True;1
TRIRIS;;category;False;False;False;False;True;1
IRIS;;category;False;False;False;False;True;1
